tweet_id,airline_sentiment,text
570310600460525568,negative,@USAirways  is there a better time to call? My flight is on Friday and I need to change it. Worried I may be on hold until then.
570310144459972608,negative,@USAirways and when will one of these agents be available to speak?
570309340952993796,neutral,@USAirways is a DM possible if you aren't following me?
570309000279023616,neutral,@USAirways Fortunately you have staff like Lynn S. and DeeDee who actually understand customer service and simply being NICE.
570308799950692353,negative,@USAirways just hung up on me again.  Another waste of an hour of my time.  How am I supposed to book a one way award flight?  #badwebsite
570308156699611137,neutral,@USAirways never received such horrible service or treated so poorly as Richard P. today. No excuse for attitude &amp; ripping up our tickets!
570307605631012864,negative,@USAirways you're killing me from the inside
570307109218340865,negative,@USAirways is not the new @AmericanAir is more like the new @SpiritAirlines. Love AA. Not impressed with the subpar planes and gate agents.
570307011981783040,positive,@USAirways we were moved to a delta direct. Thank you for the accommodations!
570306867135696897,neutral,"@USAirways agree! Richard P. Literally ripped up our tixs in our faces and made rude, inappropriate comments to us and our family. Awful!"
570306715880706049,negative,@USAirways flight 645 to Phoenix deboards passengers going to Salt Lake City because they can't resolve a simple bathroom issue. #fail
570304779412508673,negative,@USAirways always fun to get screwed out of an earlier flight (that isn't full) #crummyservice #whydidntiflysouthwest #goodluckamericanair
570304740279640064,neutral,@USAirways shout out to Cathy at the Vegas airport check-in for hooking us up!
570304445336178688,negative,@USAirways ok...i know doors close ~10 minutes before takeoff. stop telling me my flight will leave in 20 minutes when we haven't boarded.
570304440017788929,negative,@USAirways I finally got through on the phone after a 2 hour wait time.
570304244001193984,negative,@USAirways Been stuck for 40+ minutes due to lavatory issues. No beverages. No snacks. No customer service. Flt 645 to PHO... #fail #refund
570304059384713218,neutral,@USAirways will you be issuing a travel advisory for CLT for Thursday?  A significant snow storm is in the way Wednesday night.
570303720308809728,negative,@USAirways I've been on hold to change a date on a ticket for over 3 hours. Can someone please assist me? Unacceptable.
570302717085790209,negative,@USAirways thanks 4 making it impossibly expensive 2 change 2 a flight leaving less than 24 hrs earlier than my reservation #1lesscustomer
570302023968694272,positive,@USAirways Well I did miss it. But gate agents had rebooked boarding pass waiting when I landed. Time for lunch &amp; a beverage. Easy cheesy
570300325917270018,negative,@USAirways I cant get anyone on the phone to help with award travel.Purchased extra miles and 10 minutes Late Flightr the miles needed was raised.
570298036938772483,negative,@USAirways Why haven't you issued a travel advisory for Charlotte Wednesday night and Thursday? 4-6 inches of snow.
570297185704812545,neutral,@USAirways I need help about a ticket. DM me
570296537433186305,negative,@USAirways DeeDee and Lynn S. have been great here in PHX; Richard P. here was a jerk. Rude to us and our parents for no reason.
570296516314845185,negative,@USAirways thanks for making me miss my meeting in Dallas. 700 dollars down the toilet 😊
570296273611448320,negative,@USAirways I have two tight connections in #Charlotte and #Frankfurt
570296212336865283,negative,"@USAirways Said only way to get on plane about to leave that would make my connection was a $75 fee. Instead of earlier, I am now Late Flightr!"
570295658185408512,positive,@USAirways thank you! I will be calling you! #CheapOairChat
570295637708816384,negative,"@USAirways ur ""response"" was: my ""inconvenience was of no matter."" U wanted me sit for 3 xtra nights in the city w/out comp! #donotflyusair"
570295405818335236,neutral,"@USAirways I forgot my password and I don't know if my username is correct, and i want to use my miles, what i have to do??"
570295290063925249,neutral,"@USAirways question, friend flight got Cancelled Flightled. How can he book be flight? Leaving CHS to Philly to Germany"
